"","response","predictor"
"1",735,5.44470868137033
"2",520,4.65212169667962
"3",95,4.03898974164707
"4",343,5.54506918105041
"5",370,5.08491168419369
"6",84,5.17439497251853
"7",288,5.8708831901677
"8",1900,4.61921470763896
"9",875,5.94360996169526
"10",661,4.9314255281116
"11",109,4.73642791585859
"12",280,5.06626500651858
"13",275,5.45351282374785
"14",362,5.06530983058378
"15",737,4.61467030664389
"16",79,5.01694421878599
"17",268,3.54774478426031
"18",5146,4.86946740678291
"19",208,5.49637804140037
"20",722,5.08998114655414
"21",1406,5.6474130194698
"22",518,5.5158885820834
"23",1423,5.61967038513113
"24",978,5.62642921426656
"25",836,4.06992250510673
"26",3431,5.20270379201199
"27",158,6.25954376749444
"28",360,4.88768460242113
"29",1486,5.49432158757337
"30",130,5.29320592513696
"31",240,5.56205794637221
"32",553,5.02318042383917
"33",165,4.7786054572646
"34",191,5.24677454883767
"35",163,5.33507963995722
"36",182,5.07953401170549
"37",224,5.22043643226719
"38",421,5.46737875689901
"39",535,4.6954804711994
"40",633,5.94079047717874
"41",890,6.63049417598528
"42",514,6.16018346367765
"43",1863,4.90462839704008
"44",62,4.01512327512891
"45",115,5.23522867212124
"46",1570,5.77217759339265
"47",613,5.70576935365818
"48",662,4.40066459643737
"49",191,4.47645346801678
"50",472,5.28693401267046
"51",297,5.60695287449496
"52",375,5.76740558150605
"53",419,5.73065478631032
"54",105,4.57081593022178
"55",527,4.34680671347001
"56",95,3.89186214432647
"57",2870,5.52820625352308
"58",229,5.73827251775013
"59",346,5.41830294773628
"60",297,4.51156911009265
"61",277,6.21901588746707
"62",699,4.9594046941638
"63",560,6.3563749349722
"64",1345,5.55841130330237
"65",1436,5.97370191930559
"66",298,5.41489144709136
"67",257,5.15797605173508
"68",348,4.54184375555741
"69",159,4.83696577637562
"70",62,5.16937990642032
"71",697,5.38334814419028
"72",8842,5.17840751198479
"73",159,5.08431820708928
"74",925,5.31926558601234
"75",887,4.85915817231161
"76",159,4.85164065337932
"77",538,4.25379194392358
"78",1722,5.7500764556742
"79",351,5.23050603920099
"80",480,5.14564424827222
"81",396,4.7184029003963
"82",279,5.03894698846344
"83",558,4.49359114379416
"84",188,4.51795672097071
"85",501,3.95268134839071
"86",268,5.83810420222148
"87",122,5.28187665339444
"88",259,4.47409535588962
"89",564,5.95646129243484
"90",153,5.60598459418993
"91",150,5.68254847848003
"92",222,5.05324913148717
"93",301,4.92513319571932
"94",808,5.13626561369578
"95",129,5.46304892655443
"96",831,5.71994449431673
"97",63,6.233154947472
"98",89,4.86910423731077
"99",522,4.53988291370154
"100",1346,5.26555813264678
"101",902,7.16436772043875
"102",316,4.92139970069559
"103",527,5.94469279156009
"104",544,5.04198616376969
"105",1201,4.88894689545348
"106",413,4.73822887056509
"107",1043,5.06269099198356
"108",3388,6.26715990606903
"109",613,5.39620036836624
"110",177,5.51676393008994
"111",776,5.74517826508097
"112",202,6.5466319833759
"113",3082,5.7041522473517
"114",413,4.27237762058124
"115",233,4.52821763194701
"116",284,4.16685417616531
"117",380,3.34844459956904
"118",876,6.03897705306519
"119",1097,4.87907948171643
"120",1326,5.45673094050891
"121",382,5.96805160454354
"122",1235,4.86730874852269
"123",693,5.11227102836956
"124",556,5.4276665166909
"125",77,5.34682149418146
"126",857,4.69669508776773
"127",315,5.67503014650428
"128",381,5.5546630933576
"129",1228,5.01250795765103
"130",422,4.40545240794165
"131",94,5.61166683711958
"132",264,6.12788777634475
"133",360,6.09733637070308
"134",684,5.76721246841697
"135",5822,4.88596220537602
"136",122,4.85462450233114
"137",2434,4.81800490821916
"138",201,4.93239638515812
"139",65,5.6609706538147
"140",2320,5.36665788979818
"141",187,3.99336561890188
"142",552,3.99061804062061
"143",2938,5.18515783907267
"144",2612,5.29746018573268
"145",3028,3.70014167767706
"146",768,4.66930930322213
"147",2414,5.21791474860284
"148",190,6.15016084486471
"149",43,3.89163532659052
"150",1822,4.38396121931171
"151",212,4.49780054930816
"152",187,5.31400745112175
"153",270,5.41504549391926
"154",1246,4.99155199965475
"155",490,4.15198635283251
"156",531,4.79014092903819
"157",245,4.83568410867368
"158",618,5.06832216512894
"159",170,6.25487536773559
"160",600,4.7600991552153
"161",150,5.24957186334015
"162",1445,4.74149107794251
"163",1816,4.39385189812145
"164",21,5.61336613361459
"165",651,4.51709135822571
"166",298,6.97788597325443
"167",204,5.26016590958769
"168",696,5.23916482445114
"169",252,5.15674561284294
"170",285,6.39836960102604
"171",505,5.63155262176234
"172",347,5.03685608156382
"173",427,4.44197662570296
"174",66,4.52482695553366
"175",928,4.68975695153075
"176",1409,5.9897164801359
"177",355,5.07716197574891
"178",305,4.70782089525811
"179",238,5.71483866062218
"180",734,6.07436701236441
"181",1405,4.74855453535365
"182",109,4.91079384637246
"183",575,5.42443472137046
"184",1048,5.19685111625162
"185",485,5.46413820646511
"186",494,6.31422904175143
"187",135,5.16074873982137
"188",350,5.01754352610274
"189",178,5.5155193995814
"190",691,5.16792605566902
"191",307,5.60804728999631
"192",592,5.05441875157683
"193",352,5.48828976436072
"194",1170,4.18356854008087
"195",2054,5.2090373778972
"196",69,4.86445960826561
"197",233,4.42614732591361
"198",1863,4.93150501490593
"199",822,5.44179671452489
"200",1696,5.2600229266133
"201",66,5.65076444563873
"202",103,5.81158450804981
"203",524,5.73850161932311
"204",228,4.98908203529102
"205",630,4.33669847126291
"206",710,5.01778226955697
"207",999,5.96027603373203
"208",754,5.12104036280975
"209",96,4.13576042682067
"210",436,5.51939909486535
"211",382,5.38318255195069
"212",311,4.93960781912508
"213",134,5.3126849768564
"214",747,6.09010198520447
"215",1326,6.04447746094195
"216",88,4.90340701919545
"217",655,5.20693216020774
"218",902,4.25484205579274
"219",1801,4.72696033812032
"220",1963,6.50535625835237
"221",772,6.17370629558212
"222",203,5.05098442856596
"223",134,4.7498976555532
"224",195,4.31169485684054
"225",548,6.5819337049464
"226",396,5.27450932114501
"227",910,4.81393320891137
"228",918,5.90074376966832
"229",141,4.48526920864171
"230",1370,5.67226672844419
"231",57,6.13656569645509
"232",444,5.06338939624592
"233",348,6.14333261352419
"234",949,5.61700843041601
"235",778,4.75877504772803
"236",2023,5.57330327862585
"237",473,4.7420655579122
"238",273,4.85291036280054
"239",278,5.70334999430148
"240",988,4.89084609302978
"241",975,5.18412220372355
"242",723,5.86235526258484
"243",104,4.41637274286094
"244",1528,6.23694101385682
"245",505,6.52727104899545
"246",72,5.59941281252815
"247",482,5.47425526318894
"248",2082,4.8773259159994
"249",886,5.51912491833692
"250",232,4.87371158975772
"251",571,5.38731038186355
"252",745,4.75369309464327
"253",560,5.71246246091982
"254",373,5.6493897466264
"255",84,6.00794935523336
"256",424,6.48843631307896
"257",179,4.77981280749756
"258",214,5.82802303994778
"259",474,4.27227615938811
"260",2778,4.90263555687878
"261",708,5.8145533449955
"262",716,4.72004705226011
"263",391,5.42466645492064
"264",108,4.61471094896807
"265",50,4.95927204232521
"266",94,5.17348199780746
"267",441,4.80199280183607
"268",3807,3.93519614161936
"269",587,5.35801261419292
"270",386,5.50868506201294
"271",171,5.28886447313974
"272",150,4.8823139783026
"273",193,5.78513237721929
"274",2310,5.90039817903992
"275",202,3.65711394356755
"276",654,5.93097364439392
"277",342,4.04329396435022
"278",355,4.97604226441697
"279",293,4.47903747605647
"280",404,4.79043124109999
"281",3314,6.05597444967076
"282",210,5.54743370238465
"283",287,5.52103375573222
"284",536,3.84930491962587
"285",355,5.32761147278202
"286",321,5.60872205001803
"287",309,5.75961564320585
"288",104,4.5673892221911
"289",516,5.80940298381993
"290",358,4.29311624410808
"291",138,6.33018296226962
"292",129,4.6808877113417
"293",140,5.69726585140008
"294",773,5.40664237433803
"295",69,4.50865966355162
"296",384,5.94376812644459
"297",68,5.2216949477078
"298",2004,5.7319650536511
"299",366,5.34182485578443
"300",121,5.76452321406644
"301",884,5.21409233858375
"302",946,5.92489862230046
"303",1266,4.97108243780777
"304",1406,5.54273740686172
"305",670,5.44607148945856
"306",292,5.74850885511395
"307",5594,4.79632237827804
"308",333,5.31549947361411
"309",100,4.8228926985643
"310",61,5.79061458672674
"311",123,4.7861538533412
"312",171,6.32595515264489
"313",3631,5.71374154132543
"314",857,5.191089813745
"315",602,5.98402770888379
"316",164,5.14501588891014
"317",426,5.56612048306342
"318",1851,5.54332636000982
"319",85,5.47497498106671
"320",155,4.81210325068908
"321",316,4.38695121955922
"322",107,4.10695953864701
"323",2049,4.90340736664917
"324",228,5.6438155749316
"325",721,5.04462563572317
"326",220,4.41782189324584
"327",395,6.60171044126755
"328",219,5.6563061249816
"329",108,6.46530176517266
"330",376,5.98847362991884
"331",138,4.80260357306307
"332",1698,4.93225121788959
"333",942,4.26355736412469
"334",94,5.68130774452129
"335",287,6.25537851394777
"336",5940,4.60168482925281
"337",2135,4.41857152956754
"338",516,5.77374074443691
"339",176,4.21428862685952
"340",437,6.44904751254955
"341",236,5.57188825557406
"342",155,4.08531821500494
"343",92,5.43069728222607
"344",377,5.26836821277715
"345",440,3.59553120342996
"346",3688,5.17279228028943
"347",371,4.81828050088643
"348",784,4.62325695470779
"349",1177,5.35516593283794
"350",462,5.75307869649097
"351",156,6.32255574158913
"352",5337,3.48887003003798
"353",695,5.68334736307648
"354",365,4.58097177763206
"355",1158,5.95161460749733
"356",307,5.42481008820259
"357",235,6.13922216183928
"358",394,4.23620515125817
"359",11422,5.52151034345875
"360",47,5.39185356972251
"361",504,5.88111045984763
"362",234,5.04974046938725
"363",312,5.94361094985368
"364",157,4.91077543094068
"365",195,4.92099568746948
"366",496,5.21649654594626
"367",269,4.50498608795151
"368",1275,4.90322843345771
"369",181,5.92150248851357
"370",688,6.27368865779872
"371",42,5.92426554175843
"372",3176,4.92383763612742
"373",696,5.40701192560075
"374",181,5.26401827181408
"375",235,4.38163214259173
"376",752,5.36731533724146
"377",1317,4.66420933701332
"378",330,4.51059425768436
"379",431,5.67157854988784
"380",3853,4.73984427338088
"381",385,5.10636831216875
"382",328,4.56708487502707
"383",340,5.23636387680454
"384",1382,5.52002525954782
"385",217,5.52665441553349
"386",93,4.5010823148009
"387",261,6.01772746251727
"388",1590,6.17043161347885
"389",688,5.44239177716699
"390",267,5.30236170612483
"391",838,5.2502728871587
"392",6957,5.36740486486084
"393",195,5.44467533266972
"394",1091,5.28893535231631
"395",796,5.62498506109458
"396",86,4.9817504474546
"397",1036,5.93407420352641
"398",166,5.17550617234909
"399",1869,4.0587988892515
"400",620,5.13518175990079
"401",458,5.49056329422502
"402",1687,5.99952058734191
"403",829,5.23913678119982
"404",448,3.93895501891385
"405",208,5.20314064785148
"406",3238,4.42051225072114
"407",595,4.56553129262766
"408",201,4.53334241669727
"409",755,4.68050249906683
"410",344,5.93913390886185
"411",238,4.6595062152965
"412",296,4.91460919693057
"413",223,5.31971274991016
"414",454,5.77874675662647
"415",636,4.76664174345126
"416",15692,4.6629544884845
"417",443,4.862899780561
"418",278,4.43838284549831
"419",203,5.79802167715538
"420",741,3.78172721283569
"421",80,4.85700014971932
"422",313,4.26325898563898
"423",334,3.92808989027665
"424",103,5.21862782810152
"425",941,6.19985317985981
"426",727,6.26251623061988
"427",68,4.8341954645707
"428",395,4.74697878946314
"429",85,4.85015290274347
"430",2429,5.6615716506595
"431",505,3.53489697406299
"432",280,5.36100530837449
"433",271,4.93639875234509
"434",1324,4.71643997704678
"435",390,3.89602197964192
"436",1517,5.06621282844108
"437",195,4.12811309790369
"438",146,5.19004988242498
"439",7613,4.61831390961628
"440",111,5.23010782071932
"441",1779,5.49965265159946
"442",252,4.87256980132134
"443",189,4.5354410034596
"444",473,4.8023675511303
"445",857,4.76619422291058
"446",375,4.22937071111394
"447",280,4.69259816096097
"448",169,5.07428666234285
"449",5860,5.05645834863039
"450",3152,5.41420213092674
"451",108,6.0397192200303
"452",137,5.41688617058151
"453",264,6.15926153358234
"454",184,4.7788481229318
"455",158,6.07793446650021
"456",16153,5.58571579008145
"457",131,4.42538922459788
"458",677,5.4614111581154
"459",341,4.39549965362984
"460",559,5.81569993919961
"461",181,4.84916500573207
"462",577,5.0465283784262
"463",235,4.7583012821869
"464",611,4.64608410996321
"465",1476,6.30639081097791
"466",108,5.8446729398868
"467",191,5.63888850006784
"468",73,5.24785297335256
"469",361,5.67861697945867
"470",160,5.63011330499537
"471",49,6.24228838894784
"472",541,5.75252585583809
"473",1973,5.06597714580262
"474",541,5.06031958688107
"475",521,4.89575283318152
"476",367,4.96356993546971
"477",88,5.04615543932791
"478",581,5.99487248723887
"479",259,3.68656623874624
"480",533,4.74380021153328
"481",385,5.11362753241167
"482",295,4.36588203756042
"483",115,6.2524153965686
"484",322,5.04793360434229
"485",209,4.47400321471117
"486",206,4.62045103857306
"487",173,5.76705685563374
"488",807,6.41485607132766
"489",96,5.11922547252204
"490",629,5.2695687247946
"491",440,4.58345221096418
"492",107,6.05581906197397
"493",111,5.66972700212488
"494",1515,3.6859852491426
"495",1154,4.78059884521861
"496",2129,5.04782362867801
"497",322,4.47969556230266
"498",364,5.0224042858586
"499",292,4.46326324972827
"500",232,5.43355016992487
"501",820,5.41816909651234
"502",1212,5.7271398295406
"503",166,5.47069648835682
"504",184,6.23617412525501
"505",2625,4.94901037976273
"506",433,3.80035281116632
"507",1109,5.21667848850193
"508",6020,5.62240174926657
"509",336,4.93919686031668
"510",427,6.11056971046139
"511",429,5.91159964114595
"512",319,5.54937064429879
"513",153,5.2453535925535
"514",353,4.84152458842404
"515",857,5.08498681094174
"516",976,5.50496560098545
"517",453,5.829067912361
"518",269,5.00752547307068
"519",1422,4.72663538202464
"520",487,6.80914381021297
"521",148,5.53706216072731
"522",484,4.61265791653066
"523",920,5.80513638662311
"524",528,5.2400962236336
"525",144,5.73741301153906
"526",245,5.23366801916454
"527",114,5.16202111669061
"528",311,5.25889755346297
"529",261,5.46830751808416
"530",776,4.80344427449645
"531",192,4.77401390032246
"532",716,5.07989351600942
"533",2258,5.31134593056411
"534",371,4.99370530407489
"535",72,5.40603996559764
"536",201,4.4838719818087
"537",123,4.26987700563621
"538",274,6.42980691113025
"539",789,5.4586201234892
"540",499,4.94193171329352
"541",566,5.01802739848126
"542",670,5.71032704517831
"543",203,5.06329147075092
"544",1715,5.32487472651984
"545",166,5.02792834303601
"546",165,4.87409581234111
"547",1707,5.59142337878817
"548",219,5.2919714629276
"549",61,6.04617823353072
"550",766,4.46849204251142
"551",164,5.11205018606789
"552",959,5.06415718326714
"553",125,4.50133948295611
"554",318,5.84860817206788
"555",81,5.13019016310181
"556",2510,4.29938730621955
"557",432,4.81510859219376
"558",733,4.48153318558004
"559",483,5.87540753319937
"560",741,6.85288789696037
"561",1060,4.76208471756133
"562",206,5.14005049473383
"563",1518,5.38182777228893
"564",101,6.96082362235443
"565",1659,3.68614774861077
"566",341,4.8659287717974
"567",234,4.41818340780197
"568",207,5.05204387594601
"569",567,5.0206655085691
"570",362,4.7256242760838
"571",159,6.3922012163903
"572",2402,5.36709246909224
"573",1001,6.75583049322218
"574",292,5.73535080704193
"575",670,4.37754710233358
"576",104,4.71023071020568
"577",198,5.37747497245592
"578",394,4.82436568829472
"579",2602,5.43028829790045
"580",394,5.67617221727284
"581",611,5.4737294798232
"582",418,5.11250165778895
"583",1726,4.78169969298933
"584",238,4.36194155204329
"585",1383,5.4215816840889
"586",534,5.79951818816038
"587",276,5.14821488366563
"588",990,5.68985147427091
"589",221,6.6478942942906
"590",1982,6.45698383327251
"591",20858,4.87831144009551
"592",262,5.55536269690679
"593",161,4.74356308546501
"594",578,5.64837872553605
"595",251,5.16206395895011
"596",1629,5.38043192574332
"597",431,4.64164050063402
"598",5025,5.98349564529122
"599",126,5.14528302179003
"600",63,4.91015202732921
"601",152,5.15019610780013
"602",383,5.24965894699732
"603",422,6.263961607601
"604",2616,4.47802940758306
"605",170,6.79834428226914
"606",471,4.69734694879904
"607",853,5.31351819372404
"608",2403,3.86220811291299
"609",533,4.77460065528568
"610",1102,5.67565268668368
"611",623,5.52840148807636
"612",1754,5.46687194413916
"613",76,4.89660255270375
"614",412,4.00167789706241
"615",163,4.50266399241138
"616",14619,5.05061130253937
"617",687,5.60406416374396
"618",871,5.7443395629033
"619",1766,5.00312276804996
"620",93,5.10149085263195
"621",2293,5.09414651035957
"622",286,5.23759959642122
"623",176,6.199144175631
"624",316,4.72763685674125
"625",1144,5.06690423229097
"626",163,5.25117209008795
"627",384,4.33012716942971
"628",1458,4.60133099711808
"629",2153,5.33017026659592
"630",66,5.47759493303041
"631",847,5.94105863609721
"632",4317,4.89729112831497
"633",235,6.14503540380233
"634",293,4.6380384587423
"635",2118,4.16241599832353
"636",4959,3.9350912603912
"637",494,5.91763267871138
"638",134,5.39816687234855
"639",215,5.11522577153346
"640",702,5.00915129844227
"641",1097,6.2310660460144
"642",306,5.98074457763851
"643",331,4.54756918772049
"644",217,4.29583896116945
"645",622,5.90544232260441
"646",167,5.56439767391127
"647",1081,4.86786235969169
"648",593,5.45769377762121
"649",185,3.88489978245762
"650",147,4.76765804259326
"651",4938,5.48275468359196
"652",352,5.15260743463443
"653",215,4.36677303132503
"654",2417,5.85992298494003
"655",253,5.95598857048131
"656",1018,4.58897410500295
"657",149,5.07944669107004
"658",218,5.67489906064916
"659",198,5.76142114776713
"660",335,4.85631405048734
"661",192,4.62894910428074
"662",106,5.4242990144495
"663",76,3.95458815828071
"664",417,4.58244956692356
"665",8027,5.70283163258734
"666",381,4.0925310364157
"667",323,4.41949486759128
"668",496,5.04348970865066
"669",196,5.00365222426081
"670",152,4.05987090750327
"671",733,5.5310962472291
"672",533,4.53605338089555
"673",249,5.09726169068791
"674",707,5.07222806544938
"675",382,5.65280868154027
"676",5059,5.15711205118615
"677",1510,5.11267380939363
"678",2053,6.27558154860144
"679",1138,5.4417316733132
"680",882,5.60530130069657
"681",270,5.50868410743995
"682",170,5.57156250731941
"683",950,6.0682287035747
"684",1319,5.16288229537171
"685",1323,5.35784856517458
"686",627,6.48026218632928
"687",493,4.85547509627084
"688",228,6.03915583669855
"689",602,4.80539917255299
"690",6047,6.31159078895815
"691",478,4.76693920315557
"692",116,4.67065802013508
"693",139,5.87366170589219
"694",1060,5.82720549619839
"695",2783,5.55861204434905
"696",43,5.37757254407118
"697",471,5.35720887217223
"698",499,6.53559445893023
"699",228,4.26885257810824
"700",3178,4.55888139391538
"701",910,4.36855892011104
"702",2714,5.82449106874462
"703",933,5.04033274203299
"704",325,5.11549450366708
"705",2066,6.35914943192044
"706",201,4.82363280569005
"707",268,6.51481649080814
"708",1156,4.28386347113164
"709",320,6.05659314848152
"710",186,5.41002865167364
"711",141,4.94740966200544
"712",503,5.0876560127984
"713",438,6.0703335340563
"714",433,6.30747381704498
"715",112,4.10899591631663
"716",133,7.42371149543208
"717",164,6.87566272534555
"718",566,4.85854080747385
"719",258,5.15815176161549
"720",253,4.76869421890116
"721",1481,5.13954929241638
"722",3540,5.68090863485979
"723",218,5.26718582970487
"724",2702,5.32480454883282
"725",385,6.16122494175265
"726",313,3.76748548892245
"727",213,4.88056201918882
"728",299,5.29387122632088
"729",868,4.69098458574351
"730",142,5.88962805618658
"731",80,4.91042133262068
"732",164,4.9210329000477
"733",4925,5.9728576703444
"734",107,5.74229114748998
"735",443,5.10230013938835
"736",222,4.9869578636888
"737",215,4.25869256138041
"738",461,4.74676502004145
"739",443,6.88901865088442
"740",158,5.17568024113787
"741",212,5.79376972878816
"742",163,5.08005777612793
"743",46,5.59638579250494
"744",240,5.16572757415782
"745",306,6.08654927119295
"746",7680,4.87263827886265
"747",39,4.0891108903569
"748",706,5.784057294033
"749",55,5.04547288277869
"750",262,6.15121492734466
"751",96,5.28084587321155
"752",434,6.14493154849152
"753",239,5.42764752367983
"754",330,4.97313343822115
"755",487,5.67163909508289
"756",480,4.90149502074604
"757",157,6.29509350031506
"758",514,5.29527961092228
"759",5602,3.88059288959577
"760",490,4.89308944793108
"761",267,4.13895824758843
"762",216,3.78406905103851
"763",196,5.23848562320695
"764",3495,5.62110941385346
"765",241,4.70507252236755
"766",169,4.33625248801944
"767",76,4.80868001430156
"768",499,4.19215857297219
"769",593,5.65695116684755
"770",83,5.5734269533204
"771",3284,4.16306051878196
"772",716,4.79435523997904
"773",241,5.88069043580825
"774",3091,5.09076149703675
"775",281,5.20618533010217
"776",66,5.4712061455857
"777",410,5.6074422278425
"778",582,5.98405804016058
"779",237,5.70216748959886
"780",526,4.30458140835785
"781",170,4.96442249854513
"782",174,5.39649402226791
"783",412,5.12909808052321
"784",1738,3.78354256721745
"785",2013,4.70722542875365
"786",802,5.85945824836
"787",166,5.30273065534237
"788",5039,4.24283571555043
"789",4523,5.3403520340492
"790",860,5.0968401424149
"791",271,5.63670501771072
"792",1197,6.56926309113813
"793",160,4.21466491480914
"794",300,4.87170871070598
"795",505,5.10980408877744
"796",198,3.81146674975055
"797",280,5.1797070026259
"798",666,4.81444012535692
"799",328,6.65314179957677
"800",212,3.30331546097582
"801",285,6.16734375933486
"802",853,5.85521603399923
"803",170,5.67780955925319
"804",122,5.29542779527112
"805",309,4.73797980811727
"806",350,5.91866041050805
"807",437,4.62426440772686
"808",47,5.65159518161022
"809",292,5.46171547045451
"810",484,5.89955482768286
"811",12316,4.81224481953248
"812",2949,4.82235804181493
"813",415,5.39634976647794
"814",309,5.39869535108432
"815",311,6.09309893010146
"816",187,5.51550962845094
"817",479,5.29414602557597
"818",127,5.74770289854504
"819",1152,4.8466549197542
"820",1778,5.91043173258141
"821",1768,4.53534795748997
"822",165,5.41979579139237
"823",406,4.09055025365173
"824",189,5.36019201783434
"825",553,4.18082396475768
"826",777,5.04953478577253
"827",608,4.0576539574568
"828",4288,4.78424711056581
"829",1653,4.69549150854271
"830",2331,5.56060352444218
"831",152,4.82162061544429
"832",840,4.70041318378284
"833",182,5.99398519707959
"834",100,6.28496076628685
"835",496,5.91076224973666
"836",309,4.23069237165806
"837",3739,6.02982450368692
"838",1053,4.40145057901919
"839",401,5.15323183571183
"840",277,5.67739783215328
"841",1016,5.06097339774648
"842",45,5.10224467764842
"843",630,5.28149857704986
"844",373,5.47810771436924
"845",245,5.46737794139762
"846",426,4.07786518498669
"847",834,5.08582864786107
"848",150,5.38644504008323
"849",81,5.58398100756558
"850",383,4.99371581529429
"851",239,4.74327643371779
"852",453,4.31106792896261
"853",151,4.72627528820211
"854",1681,5.1210087983321
"855",43,4.78711606823243
"856",810,5.58655674727838
"857",2439,5.43887580008354
"858",651,4.15432001745392
"859",365,5.40626569911891
"860",79,5.55210802784166
"861",151,5.03013745655557
"862",328,5.18277775472186
"863",2227,4.91904510048007
"864",1075,5.0092986171887
"865",441,4.54542391851125
"866",39,5.47638493976594
"867",4436,4.40386921498193
"868",115,4.81619797403737
"869",739,4.60613525505998
"870",83,4.63390348566817
"871",1580,4.96043883413418
"872",348,4.88458586453971
"873",1538,4.74502477853168
"874",143,5.03526796709129
"875",96,4.16981655474853
"876",70,5.27217493888886
"877",170,5.61070000332195
"878",73,4.36598585017796
"879",112,4.28148459596455
"880",462,6.6507981215718
"881",267,5.35567970652827
"882",1242,5.23457540248812
"883",528,5.07097015387494
"884",121,5.52022104472848
"885",232,5.2242066897106
"886",250,4.84515723096812
"887",1355,4.91889055643567
"888",777,4.97608494088319
"889",1009,4.99221489274793
"890",287,4.71139573216197
"891",1282,5.8981659902366
"892",248,5.26098440117867
"893",1541,4.69750656083264
"894",72,5.58431167771647
"895",243,5.42764851114079
"896",935,5.11057327223111
"897",311,5.46057321357605
"898",635,4.61085365306512
"899",289,5.07075383583466
"900",311,4.5505494421873
"901",1283,4.43052321762466
"902",948,4.9845908773819
"903",305,5.30921612081151
"904",92,4.60654640505572
"905",142,5.0862122166151
"906",832,4.01021002142395
"907",176,4.90962078624243
"908",417,5.96093372857196
"909",299,4.45157966650818
"910",287,4.42459418696965
"911",43,5.05709005197039
"912",1838,5.54753597643903
"913",393,6.00347095758819
"914",3928,6.92493147359248
"915",208,5.72058060474859
"916",137,5.63644479225988
"917",114,6.51815067609286
"918",4864,5.00439920248485
"919",251,5.06132288641806
"920",95,5.36462559724809
"921",614,4.27694277085366
"922",510,4.00696617397181
"923",409,6.37441309312487
"924",277,4.82625276736825
"925",195,4.90237744308452
"926",109,4.55457875210687
"927",446,5.2936471878329
"928",292,5.5842413395832
"929",47,5.05140269538228
"930",263,5.20955805080579
"931",320,5.81840539470368
"932",2071,5.19300074994104
"933",392,4.83512674308495
"934",524,5.16060344705977
"935",428,4.6524878750688
"936",761,5.2662272543657
"937",918,4.61634824030357
"938",940,6.10605153942984
"939",530,3.58375946215237
"940",102,5.46084118827694
"941",155,4.88278230507541
"942",587,6.49164672529737
"943",3424,5.04759877005325
"944",1069,5.5131942842596
"945",666,5.45148107998282
"946",356,5.36098706606891
"947",898,5.53677789297793
"948",63,6.49831892702466
"949",512,5.80288073539244
"950",1775,5.32767569677043
"951",520,6.36367304234183
"952",1309,5.57907853697347
"953",343,5.62271683941608
"954",324,6.00926959660203
"955",287,5.30471930691298
"956",3056,5.67156894944747
"957",309,5.02158785821403
"958",273,5.28114344250749
"959",2324,5.22576770776285
"960",161,4.78417352560401
"961",175,6.52252459230441
"962",38,4.83671656039726
"963",334,4.96874338306319
"964",363,6.06087130373234
"965",361,5.18659555100116
"966",389,5.959282177673
"967",4235,4.80521787140537
"968",3300,5.19165292145146
"969",430,5.03689102902283
"970",787,4.57007613373567
"971",408,5.00284723031144
"972",6415,4.77407635921763
"973",2574,5.75734076121558
"974",1464,5.01086067103464
"975",131,5.14619221711121
"976",1534,4.66190094967688
"977",1040,5.3398793536471
"978",391,4.15224136801264
"979",567,3.2825833402159
"980",341,6.42206912312279
"981",44,5.69222010332475
"982",1520,5.61257361213929
"983",571,3.74626962722805
"984",715,5.64013392606767
"985",100,5.53787927587573
"986",913,5.14952422309003
"987",434,5.73627519572494
"988",186,5.92836986995903
"989",1412,5.12059366052848
"990",84,6.46446910047824
"991",243,5.84243575467487
"992",1475,5.99585049783576
"993",226,4.99517355035879
"994",504,5.11477014382002
"995",271,4.60031947540496
"996",444,5.46478990556223
"997",130,5.37160743234733
"998",2058,5.25933431006208
"999",740,4.75755317123726
"1000",544,5.04921982816486
