predictor,response
511.2938967,1
274.709403,0
189.4965603,0
249.4755322,0
782.1724878,1
489.5190895,1
439.3118289,1
85.42441833,0
474.4801524,1
69.84298513,0
928.5142964,1
136.0694505,0
410.1544805,1
470.7425586,1
502.3363009,1
494.71419,1
530.0590962,1
590.7775331,1
335.2767974,0
958.1675085,1
965.5576579,1
260.3824495,0
386.3844164,1
426.5415161,1
585.7580749,1
985.729578,1
110.5336826,0
826.8838993,1
824.4530624,1
475.1999907,1
602.1545737,1
471.6118407,1
155.3103807,0
406.4300603,1
162.6636882,0
479.8547698,1
539.7581346,1
31.26150067,0
140.9569653,0
756.6899401,1
558.8089821,1
463.3338328,1
434.5344696,1
889.5395782,1
489.5164827,1
837.4392635,1
951.2474632,1
412.9504063,1
584.5729506,1
443.5523408,1
313.6903022,0
416.4300836,1
880.0233256,1
195.9308938,0
717.0984428,1
68.05805303,0
510.7354491,1
462.246801,1
174.2392795,0
635.8296988,1
723.1716493,1
623.6444835,1
275.0070388,0
546.1118584,1
664.5225279,1
748.7619489,1
605.1482784,1
672.7359367,1
665.4867756,1
355.713316,0
289.3507336,0
912.6772792,1
410.5820449,1
319.4510464,0
144.3724651,0
407.3587158,1
366.6436807,0
90.13115894,0
286.6934356,0
617.969661,1
310.2820434,0
787.9883996,1
719.3240258,1
919.9155581,1
27.23941277,0
129.3889133,0
871.6057763,1
336.4583412,0
231.6136765,0
184.4550045,0
510.8079154,1
163.1411421,0
553.4229844,1
811.8387198,1
85.81069182,0
39.95892452,0
540.1438542,1
235.1233272,0
932.7164704,1
575.046866,1
868.5254343,1
95.87460151,0
931.2309278,1
602.9665342,1
843.3082507,1
142.847152,0
859.2351628,1
236.0970343,0
185.0388648,0
429.8284894,1
37.14877972,0
815.7130103,1
144.6991228,0
415.0183038,1
166.2841314,0
177.7097981,0
120.5923823,0
296.7910822,0
516.3944981,1
810.0299747,1
723.4708706,1
198.0349836,0
586.9626165,1
317.7491678,0
515.1104846,1
456.0908095,1
324.2778447,0
146.8570952,0
479.3069845,1
716.2584455,1
84.75713176,0
635.7798863,1
540.486546,1
138.7631502,0
544.2125176,1
67.55941012,0
648.7537788,1
39.59877207,0
640.3001472,1
783.8401301,1
616.4659255,1
401.7045414,1
0.380355632,0
551.3735402,1
770.158371,1
697.3649133,1
898.046057,1
729.9716247,1
967.0862327,1
713.2271738,1
806.1540574,1
362.4734748,0
495.9516821,1
151.5631631,0
429.2892772,1
894.1563612,1
631.2666088,1
522.1947797,1
778.2458065,1
440.4563678,1
301.758077,0
299.5597406,0
105.0061618,0
37.32189862,0
207.15504,0
273.8149695,0
33.7966925,0
173.2036592,0
400.7854024,1
623.7798736,1
37.93371399,0
279.2279269,0
509.5532548,1
395.9732859,1
835.6252245,1
457.4167291,1
740.7433058,1
234.2799411,0
346.6198845,0
297.6466753,0
857.6777764,1
988.4902956,1
560.9089991,1
47.17135848,0
964.5251357,1
826.068508,1
645.3572181,1
355.6681792,0
340.345348,0
129.1602331,0
750.9756975,1
71.74329809,0
64.45200462,0
884.5588656,1
998.3258152,1
275.4609222,0
967.8943034,1
314.242353,0
651.5094498,1
168.5968307,0
460.0828544,1
648.8145899,1
66.69917423,0
681.7628075,1
887.0312807,1
978.1424028,1
574.5983669,1
643.4042037,1
583.0362183,1
515.0811952,1
61.13281567,0
658.7832838,1
246.3770572,0
178.2012249,0
674.5229289,1
668.9529109,1
30.53282783,0
923.1522058,1
13.19029275,0
280.8360937,0
428.1076863,1
8.613834623,0
301.5926038,0
29.3146302,0
878.874541,1
509.9741211,1
499.6706781,1
257.6039219,0
387.7841472,1
760.1859085,1
583.6873862,1
176.6748126,0
615.8494111,1
372.6688707,0
121.3498013,0
642.5994369,1
180.2847222,0
524.7408361,1
20.75390751,0
285.6947766,0
647.5546672,1
22.40422135,0
908.7878102,1
522.0116444,1
971.6484188,1
591.2218664,1
733.3312684,1
198.2235671,0
458.1272847,1
103.6460651,0
613.7961231,1
430.8847478,1
793.855445,1
365.4032503,0
306.490314,0
588.0671346,1
91.32828866,0
484.257167,1
892.7356845,1
183.3994724,0
529.1863205,1
1.672244398,0
830.204855,1
146.8029711,0
16.49889979,0
382.7992463,0
61.96020241,0
753.9968067,1
543.3934575,1
892.8071945,1
563.4390519,1
706.2517013,1
974.4403404,1
190.9240431,0
721.8979136,1
680.2012105,1
169.7486932,0
584.4552778,1
990.4029588,1
726.759797,1
223.3304107,0
228.3670548,0
769.8462789,1
475.3193797,1
820.4912574,1
136.9507727,0
370.9180758,0
466.9506855,1
808.8664468,1
92.99289994,0
507.3654156,1
637.969705,1
450.0822523,1
58.39763279,0
906.1899842,1
696.9424069,1
513.3188786,1
547.8500316,1
880.5124206,1
737.944785,1
863.7656902,1
951.3443061,1
521.1216281,1
720.2691883,1
724.18203,1
953.1379035,1
723.2001233,1
888.1576057,1
277.8261104,0
10.81598946,0
794.1504507,1
383.0826052,1
337.8703636,0
889.4684564,1
620.0076349,1
675.4763625,1
599.4904132,1
851.7956755,1
265.8312533,0
212.0731429,0
713.4241681,1
530.0389,1
834.749046,1
607.2040107,1
667.4640747,1
395.8042851,1
572.8318449,1
475.3283607,1
293.3910398,0
888.739917,1
962.0490745,1
544.9939743,1
290.9814978,0
470.0596423,1
603.2208218,1
855.5349116,1
829.7638721,1
818.2331836,1
210.3755968,0
413.2904382,1
747.2448342,1
21.8934638,0
383.9017025,0
695.8214636,1
200.2431499,0
261.1232991,0
96.72388574,0
389.6454277,1
452.0316066,1
349.6185984,0
420.3552953,1
879.5749166,1
725.6640729,1
150.0545659,0
478.5941981,1
40.11395643,0
816.3515124,1
406.4891813,1
565.2173578,1
761.7955762,1
31.77178232,0
900.6227218,1
159.3491656,0
461.8208101,1
842.9247658,1
766.9404584,1
170.8333672,0
240.1578831,0
722.8066386,1
843.7572166,1
835.9158633,1
575.63453,1
712.0135834,1
180.5947407,0
813.2866195,1
558.9270445,1
726.9577668,1
342.6529116,0
682.7801943,1
257.05727,0
764.1111556,1
364.7670143,0
427.2542344,1
525.9060203,1
658.7686758,1
588.3979031,1
462.4682998,1
478.0533321,1
400.3577393,1
179.2449914,0
67.19197403,0
540.2733148,1
556.9521922,1
270.7983875,0
325.5924413,0
565.8442781,1
479.6491419,1
882.5401727,1
209.6157942,0
132.2818242,0
763.4602154,1
975.9884547,1
910.3209798,1
404.1601003,1
72.51893659,0
865.0568621,1
151.3142791,0
368.3219741,0
37.03065659,0
325.273942,0
336.6735675,0
131.4960406,0
30.62739666,0
390.2833855,1
654.8365918,1
621.3596496,1
922.2004428,1
487.8170723,1
703.4378815,1
811.8562307,1
546.3369943,1
676.3827933,1
795.7765819,1
291.0958775,0
422.6199414,1
118.7262791,0
57.89984204,0
116.0431844,0
616.9518293,1
70.74797922,0
418.6308598,1
928.4024425,1
582.448001,1
631.3234682,1
955.9658074,1
676.6960011,1
606.8679793,1
211.9380622,0
124.8313899,0
481.8631308,1
773.2260632,1
995.5013872,1
563.9318007,1
953.8981365,1
28.70514547,0
72.8538197,0
10.46846481,0
658.9715155,1
594.6360971,1
626.8110292,1
982.4947049,1
159.3916989,0
430.3678984,1
127.3728113,0
349.5683584,0
530.2582544,1
665.3055414,1
243.4306075,0
541.9819294,1
510.5717278,1
486.7847774,1
447.7701373,1
747.2409573,1
832.9491413,1
937.3412917,1
827.9691248,1
296.9408364,0
600.6396373,1
204.2625744,0
21.92413108,0
216.8890925,0
244.1515385,0
608.5049203,1
648.1013596,1
699.7307369,1
567.2424657,1
731.5850384,1
854.2765302,1
796.686017,1
800.3150411,1
331.8683251,0
593.9072452,1
331.612569,0
622.1641372,1
231.7574634,0
486.8194195,1
167.4842306,0
737.0792367,1
52.36321595,0
25.54939268,0
979.8828149,1
20.53149859,0
400.4592369,1
346.7145527,0
429.7922433,1
952.2149656,1
556.716776,1
568.5030795,1
927.5261599,1
426.3286795,1
882.4123235,1
515.8915326,1
983.0252153,1
137.7303272,0
843.2100439,1
590.8855693,1
269.4013896,0
647.2360697,1
549.6261995,1
112.3266704,0
323.6517175,0
225.9080422,0
331.0606519,0
191.9256279,0
889.4675397,1
266.3908526,0
159.3998293,0
396.7428033,1
50.26646587,0
149.3486294,0
964.53554,1
127.0199507,0
775.1157642,1
20.37589625,0
121.6451919,0
955.3279935,1
68.73002998,0
379.8571816,1
337.93741,0
767.7672205,1
80.15867183,0
744.9794388,1
920.9109345,1
293.0719974,0
377.1698354,0
222.8163783,0
321.3469791,0
726.0109412,1
201.1171202,0
384.967092,1
733.4071498,1
557.3680608,1
639.1757648,1
27.94743213,0
844.3711393,1
405.320701,1
533.8784924,1
751.2612215,1
918.0821015,1
748.3839183,1
435.0193462,1
965.5979869,1
263.260308,0
881.4311253,1
113.2236193,0
121.9616663,0
763.4270478,1
867.712744,1
196.8474612,0
829.4085723,1
328.7627464,0
701.7055033,1
129.458589,0
807.5257882,1
962.2148238,1
126.677586,0
547.504249,1
751.1518435,1
401.615063,1
110.4929876,0
721.0387539,1
793.4291461,1
85.90025199,0
483.8779012,1
970.9067668,1
485.4454463,1
160.631055,0
984.1582028,1
366.4203365,0
532.7876236,1
102.7318907,0
61.66195194,0
623.180439,1
755.9932556,1
923.7462224,1
880.4965259,1
992.2509103,1
722.7054625,1
707.6264797,1
617.1363266,1
635.0792877,1
847.2126615,1
180.051049,0
733.7904868,1
649.8967395,1
734.6198752,1
952.7271634,1
719.5246231,1
545.1015965,1
948.4080228,1
989.5150086,1
229.9978482,0
984.4408294,1
511.529651,1
215.0946516,0
127.6063411,0
447.3945224,1
685.7213282,1
144.6738937,0
598.4886775,1
843.1905359,1
62.07399652,0
238.1513338,0
216.3691886,0
386.6758826,0
355.0473966,0
475.7620788,1
970.5880326,1
316.3758719,0
513.2075851,1
734.5102972,1
449.0398157,1
523.4209273,1
523.8114859,1
656.7044449,1
423.7685828,1
972.0826736,1
843.0769416,1
36.37554147,0
639.6627687,1
502.5776469,1
47.14328656,0
346.4190778,0
674.872891,1
975.4057948,1
767.4858973,1
104.783837,0
308.7084675,0
300.9480922,0
921.8302367,1
847.9991008,1
814.2736771,1
620.814916,1
639.0038121,1
19.34198872,0
100.1542546,0
350.2313632,0
460.0131465,1
740.1933749,1
271.2371708,0
246.8192782,0
620.4811232,1
747.6428698,1
380.1210017,1
912.6323212,1
989.6774231,1
428.732299,1
612.6418405,1
857.7512957,1
175.3898987,0
678.7426842,1
978.8660491,1
736.3291611,1
546.0846345,1
777.4389239,1
554.9535889,1
763.4368506,1
604.6707856,1
40.49896169,0
392.9098228,0
967.5262778,1
752.0441532,1
513.1162396,1
521.36786,1
85.39274661,0
875.4761,1
937.8944,1
667.0229428,1
271.7297266,0
563.6558419,1
631.7932974,1
955.359485,1
433.6264511,1
515.7671883,1
305.6273514,0
825.5535772,1
697.9806165,1
471.7313182,1
77.18214486,0
534.7916612,1
553.5222914,1
953.7893282,1
523.7510544,1
859.1973973,1
640.2676825,1
850.750315,1
593.2071097,1
588.8904734,1
801.136682,1
627.8756291,1
999.3981179,1
190.8208421,0
500.4398013,1
123.1812416,0
548.7575869,1
299.444508,0
508.2906659,1
964.8603483,1
480.771905,1
779.0240955,1
224.5130683,0
780.8075761,1
638.0932734,1
136.1090294,0
559.1163379,1
519.8172564,1
726.7776248,1
324.0826614,0
837.4092216,1
510.5559891,1
472.5279412,1
280.3884887,0
926.4805019,1
646.6617552,1
798.703308,1
189.2050668,0
417.4721094,1
754.2258929,1
535.2101456,1
726.4489532,1
980.2949356,1
469.528754,1
957.6543556,1
421.3009905,1
2.681099577,0
513.3106632,1
755.5154786,1
58.51849751,0
528.6092514,1
10.15308034,0
601.7811035,1
313.2066238,0
525.6635116,1
694.6476696,1
262.154585,0
200.0356698,0
395.5757758,1
645.6827922,1
227.1754644,0
805.2134402,1
488.9006296,1
757.9665394,1
74.58926807,0
924.8877438,1
582.8934351,1
274.0209708,0
247.4812916,0
558.9233595,1
298.0476916,0
738.4820099,1
195.282019,0
779.6182649,1
752.5951043,1
879.8291227,1
813.1252176,1
505.2835464,1
208.0975724,0
166.1064462,0
454.5705358,1
636.707329,1
16.71881182,0
396.6135907,1
782.7987161,1
615.5092814,1
860.6990268,1
539.8182785,1
154.4081003,0
148.3271222,0
87.05897629,0
667.4297883,1
318.9314664,0
706.9040099,1
197.4892046,0
919.1956923,1
37.26183646,0
321.7025669,0
293.4305016,0
527.439524,1
459.3185603,1
456.287737,1
713.3243985,1
467.9047572,1
166.6234087,0
755.831741,1
284.3479298,0
190.7139374,0
230.6671697,0
737.8905702,1
853.017014,1
299.6608471,0
872.893576,1
530.0792914,1
825.5307896,1
829.313468,1
542.9714601,1
38.39498037,0
543.5468315,1
629.4329811,1
841.5969776,1
534.2548399,1
947.4635951,1
742.9054775,1
839.2807527,1
148.0663475,0
775.6046727,1
915.7312219,1
610.2874335,1
760.0635726,1
348.5763553,0
162.5957715,0
458.0506973,1
814.0313809,1
672.4720474,1
223.2208024,0
540.2359876,1
802.9519103,1
594.0411459,1
567.9529079,1
0.057626283,0
393.3275538,1
627.8893705,1
939.1647337,1
969.7231362,1
124.6050817,0
150.4189337,0
597.0607828,1
672.3106243,1
717.9840133,1
584.6484355,1
287.7789787,0
557.7399002,1
220.3399662,0
30.98929231,0
901.4185669,1
414.7201825,1
348.5106458,0
716.74909,1
198.6815955,0
354.5836564,0
819.4372477,1
973.8395084,1
804.3247284,1
698.8310146,1
173.0658917,0
780.9244324,1
128.7485524,0
913.5156444,1
98.0939772,0
94.51483306,0
278.9814831,0
838.3418892,1
313.9866923,0
136.8149321,0
878.4099019,1
472.0426565,1
50.21260399,0
283.6162364,0
353.0701501,0
441.7919719,1
213.8073652,0
298.5527439,0
608.9796945,1
291.9438891,0
247.1074434,0
199.5709795,0
9.190123295,0
184.2401687,0
206.7564724,0
754.3798154,1
257.3595531,0
900.5399575,1
35.85006739,0
784.0821762,1
981.2781315,1
491.9517012,1
303.0232799,0
918.2004135,1
937.1892882,1
177.9639011,0
403.4038002,1
344.429516,0
677.0413078,1
940.5186055,1
340.6411526,0
300.0161101,0
970.9057526,1
311.9482128,0
270.6403816,0
456.9903743,1
611.8743762,1
942.6322852,1
275.7041906,0
473.7158699,1
748.654075,1
809.6676557,1
896.399911,1
597.7716655,1
232.3237751,0
381.0419622,1
665.6248837,1
837.2532057,1
670.8127316,1
322.1478539,0
41.68373183,0
15.72998753,0
341.0201271,0
571.2995143,1
743.8756707,1
620.1434147,1
382.2566471,1
379.2537313,1
950.2933458,1
525.4088053,1
151.5152419,0
963.3201805,1
463.3823275,1
355.8644671,0
877.0790126,1
484.0793048,1
763.1568031,1
2.679366851,0
758.9080874,1
354.5253228,0
534.1267644,1
407.2189615,1
975.2180097,1
385.9720933,1
864.085837,1
940.2810482,1
949.0083295,1
508.7545761,1
261.8495347,0
491.9861041,1
182.0133282,0
801.4440013,1
496.756868,1
109.9875998,0
650.2830433,1
409.2724121,1
790.5450787,1
514.4202567,1
652.5450931,1
995.8316425,1
61.38922321,0
183.1810856,0
587.7093417,1
756.415877,1
963.9564685,1
831.1921833,1
549.6260996,1
265.1927895,0
713.7813994,1
687.3459506,1
355.6800592,0
353.7644891,0
577.7436546,1
804.0304789,1
836.6207269,1
591.5581204,1
696.1357121,1
730.2682402,1
784.2249372,1
22.01795159,0
377.1395511,0
532.1300167,1
937.3724412,1
615.2293021,1
98.95653417,0
286.5950479,0
301.1658657,0
31.42564744,0
627.0266438,1
433.4642233,1
193.4045039,0
439.6374749,1
405.1533665,1
528.684936,1
969.2623904,1
137.9243671,0
311.3996363,0
308.6751276,0
498.2984166,1
351.8709338,0
688.155202,1
907.4814636,1
697.5529336,1
516.1979008,1
312.088971,0
723.5677128,1
747.6651135,1